ts_iso,session_id,request_id,task_code,step,outcome,ms,http_status,js_mode
2025-11-04T09:30:00Z,P1_5b2z,r001,t1_add,start,ok,0,200,nojs
2025-11-04T09:30:08Z,P1_5b2z,r002,t1_add,success,ok,8000,200,nojs
2025-11-04T09:31:00Z,P1_5b2z,r003,t2_filter,start,ok,0,200,nojs
2025-11-04T09:31:14Z,P1_5b2z,r004,t2_filter,success,ok,14000,200,nojs
2025-11-04T09:32:00Z,P1_5b2z,r005,t3_edit,start,ok,0,200,nojs
2025-11-04T09:32:16Z,P1_5b2z,r006,t3_edit,success,ok,16000,200,nojs
2025-11-04T09:33:00Z,P1_5b2z,r007,t4_delete,start,ok,0,200,nojs
2025-11-04T09:33:10Z,P1_5b2z,r008,t4_delete,err_internet_disconnected,task_exists,10000,408,nojs
2025-11-04T09:36:00Z,P1_5b2z,r009,t4_delete,start,ok,0,200,nojs
2025-11-04T09:36:06Z,P1_5b2z,r010,t4_delete,success,ok,6000,200,nojs
2025-11-06T15:07:00Z,P2_8s3w,r011,t1_add,start,ok,0,200,htmx
2025-11-06T15:07:16Z,P2_8s3w,r012,t1_add,success,ok,16000,200,htmx
2025-11-06T15:08:00Z,P2_8s3w,r013,t2_filter,start,ok,0,200,htmx
2025-11-06T15:08:26Z,P2_8s3w,r014,t2_filter,success,ok,26000,200,htmx
2025-11-06T15:09:00Z,P2_8s3w,r015,t3_edit,start,ok,0,200,htmx
2025-11-06T15:09:12Z,P2_8s3w,r016,t3_edit,err_length,attempted_submit_empty_field,12000,411,htmx
2025-11-06T15:09:43Z,P2_8s3w,r017,t3_edit,success,ok,31000,200,htmx
2025-11-06T15:10:00Z,P2_8s3w,r018,t4_delete,start,ok,0,200,htmx
2025-11-06T14:10:11Z,P2_8s3w,r019,t4_delete,success,ok,11000,200,htmx
2025-11-07T17:53:00Z,P3_6q1c,r020,t1_add,start,ok,0,200,htmx
2025-11-07T17:53:20Z,P3_6q1c,r021,t1_add,success,ok,20000,200,htmx
2025-11-07T17:54:00Z,P3_6q1c,r022,t2_filter,start,ok,0,200,htmx
2025-11-07T17:55:07Z,P3_6q1c,r023,t2_filter,err_internet_disconnected,tasks_not_filtered,67000,408,htmx
2025-11-07T17:57:00Z,P3_6q1c,r024,t2_filter,start,ok,0,200,htmx
2025-11-07T17:57:36Z,P3_6q1c,r025,t2_filter,success,ok,36000,200,htmx
2025-11-07T17:58:00Z,P3_6q1c,r026,t3_edit,start,ok,0,200,htmx
2025-11-07T17:58:27Z,P3_6q1c,r027,t3_edit,err_blank_entry,task_not_modified,27000,400,htmx
2025-11-07T17:58:56Z,P3_6q1c,r028,t3_edit,success,ok,29000,200,htmx
2025-11-07T18:00:00Z,P3_6q1c,r029,t4_delete,start,ok,0,200,htmx
2025-11-07T18:00:08Z,P3_6q1c,r030,t4_delete,success,ok,18000,200,htmx
2025-11-08T12:26:00Z,P4_1b2z,r031,t1_add,start,ok,0,200,htmx
2025-11-08T12:26:09Z,P4_1b2z,r032,t1_add,success,ok,9000,200,htmx
2025-11-08T12:27:00Z,P4_1b2z,r033,t2_filter,start,ok,0,200,htmx
2025-11-08T12:27:13Z,P4_1b2z,r034,t2_filter,success,ok,13000,200,htmx
2025-11-08T12:28:00Z,P4_1b2z,r035,t3_edit,start,ok,0,200,htmx
2025-11-08T12:28:12Z,P4_1b2z,r036,t3_edit,success,ok,12000,200,htmx
2025-11-08T12:29:00Z,P4_1b2z,r037,t4_delete,start,ok,0,200,htmx
2025-11-08T12:29:07Z,P4_1b2z,r038,t4_delete,success,ok,7000,200,htmx